# Amusement Detection Log
# Date: 2026-01-06 15:07:04
# Subject: Maria
# Age: 22
# Gender: Female
------------------------------
time, video_id, au25, au12, au6, audio, smile, laughter, amusement
00:07, wqMQNIlzdGk, 0.022, 0.020, 0.008, 0.838, 0.014, 0.181, 0.114
00:07, wqMQNIlzdGk, 0.018, 0.031, 0.006, 0.831, 0.019, 0.181, 0.116
00:07, wqMQNIlzdGk, 0.019, 0.043, 0.004, 0.826, 0.024, 0.183, 0.119
00:07, wqMQNIlzdGk, 0.026, 0.067, 0.018, 0.823, 0.043, 0.195, 0.134
00:07, wqMQNIlzdGk, 0.030, 0.094, 0.056, 0.820, 0.075, 0.215, 0.159
00:07, wqMQNIlzdGk, 0.034, 0.099, 0.067, 0.867, 0.083, 0.230, 0.171
00:07, wqMQNIlzdGk, 0.037, 0.096, 0.063, 0.899, 0.080, 0.235, 0.173
00:07, wqMQNIlzdGk, 0.048, 0.084, 0.075, 0.922, 0.079, 0.242, 0.177
00:07, wqMQNIlzdGk, 0.052, 0.069, 0.076, 0.938, 0.073, 0.242, 0.174
00:07, wqMQNIlzdGk, 0.053, 0.058, 0.070, 0.949, 0.064, 0.239, 0.169
00:07, wqMQNIlzdGk, 0.053, 0.047, 0.051, 0.957, 0.049, 0.231, 0.158
00:07, wqMQNIlzdGk, 0.051, 0.037, 0.036, 0.962, 0.036, 0.224, 0.149
00:08, wqMQNIlzdGk, 0.054, 0.032, 0.028, 0.966, 0.030, 0.222, 0.145
00:08, wqMQNIlzdGk, 0.055, 0.027, 0.020, 0.969, 0.023, 0.219, 0.141
00:08, wqMQNIlzdGk, 0.050, 0.026, 0.014, 0.952, 0.020, 0.212, 0.135
00:08, wqMQNIlzdGk, 0.050, 0.028, 0.011, 0.941, 0.019, 0.210, 0.134
00:08, wqMQNIlzdGk, 0.051, 0.036, 0.011, 0.933, 0.024, 0.211, 0.136
00:08, wqMQNIlzdGk, 0.055, 0.039, 0.008, 0.928, 0.023, 0.210, 0.136
00:08, wqMQNIlzdGk, 0.061, 0.048, 0.006, 0.924, 0.027, 0.213, 0.139
00:08, wqMQNIlzdGk, 0.068, 0.056, 0.005, 0.921, 0.031, 0.216, 0.142
00:08, wqMQNIlzdGk, 0.076, 0.064, 0.005, 0.919, 0.035, 0.220, 0.146
00:08, wqMQNIlzdGk, 0.083, 0.069, 0.003, 0.918, 0.036, 0.222, 0.148
00:08, wqMQNIlzdGk, 0.085, 0.072, 0.002, 0.878, 0.037, 0.215, 0.144
00:08, wqMQNIlzdGk, 0.073, 0.075, 0.002, 0.850, 0.038, 0.208, 0.140
00:08, wqMQNIlzdGk, 0.058, 0.085, 0.001, 0.831, 0.043, 0.204, 0.139
00:08, wqMQNIlzdGk, 0.042, 0.094, 0.001, 0.817, 0.048, 0.200, 0.139
00:08, wqMQNIlzdGk, 0.032, 0.100, 0.003, 0.808, 0.052, 0.199, 0.140
00:09, wqMQNIlzdGk, 0.026, 0.104, 0.002, 0.801, 0.053, 0.197, 0.140
00:09, wqMQNIlzdGk, 0.021, 0.106, 0.001, 0.797, 0.054, 0.196, 0.139
00:09, wqMQNIlzdGk, 0.016, 0.112, 0.001, 0.559, 0.057, 0.149, 0.112
00:09, wqMQNIlzdGk, 0.013, 0.119, 0.001, 0.393, 0.060, 0.117, 0.094
